"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","test_user_names[Leanne Graham]","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","17","test_user_names[Ervin Howell]","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","0","test_user_model_invalid_data","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","17","test_create_user_with_invalid_email","tests","Mon Dec 29 21:01:57 UTC 2025","broken","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","25","test_create_user","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","13","test_get_all_users_status_code","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","18","test_user_names[Clementine Bauch]","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","17","test_delete_functionality","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","21","test_user_data_contains_id","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
"","15","test_get_user_by_id","tests","Mon Dec 29 21:01:57 UTC 2025","passed","Mon Dec 29 21:01:57 UTC 2025","","test_users","",""
